实验编号,参数名称,max_depth,min_samples_leaf,训练样本数,验证样本数,验证准确率,使用特征数,最重要特征,最高重要性,规则总数,覆盖样本总数,准确样本总数,平均规则准确率,总体准确率,综合评分,输出目录
22,depth4_leaf2,4,2,44,13,0.5385,3,7天平均气温,1.3182,4,32,24,0.9205,0.7500,24.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf2
23,depth4_leaf3,4,3,44,13,0.6154,3,7天累积日照时数,1.2500,3,32,24,0.8939,0.7500,24.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf3
24,depth4_leaf4,4,4,44,13,0.6154,3,7天累积日照时数,1.2500,3,32,24,0.8939,0.7500,24.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf4
25,depth4_leaf5,4,5,44,13,0.5385,3,7天累积日照时数,1.2500,2,27,19,0.8409,0.7037,19.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf5
26,depth4_leaf6,4,6,44,13,0.5385,3,7天累积日照时数,1.2500,1,22,14,0.6818,0.6364,14.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf6
27,depth4_leaf7,4,7,44,13,0.5385,3,7天累积日照时数,1.2500,1,22,14,0.6818,0.6364,14.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf7
28,depth4_leaf8,4,8,44,13,0.5385,3,7天累积日照时数,1.2500,1,22,14,0.6818,0.6364,14.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf8
29,depth4_leaf9,4,9,44,13,0.5385,3,7天累积日照时数,1.2500,1,22,14,0.6818,0.6364,14.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf9
30,depth4_leaf10,4,10,44,13,0.6923,3,7天累积日照时数,1.2500,1,22,14,0.6818,0.6364,14.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth4_leaf10
31,depth5_leaf1,5,1,44,13,0.6154,4,7天平均气温,1.7955,10,21,21,1.0000,1.0000,21.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf1
32,depth5_leaf2,5,2,44,13,0.5385,4,7天平均气温,1.5000,4,16,16,1.0000,1.0000,16.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf2
33,depth5_leaf3,5,3,44,13,0.6154,4,7天累积日照时数,1.2500,3,18,18,1.0000,1.0000,18.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf3
34,depth5_leaf4,5,4,44,13,0.6154,4,7天累积日照时数,1.2500,3,18,18,1.0000,1.0000,18.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf4
35,depth5_leaf5,5,5,44,13,0.5385,4,7天累积日照时数,1.2500,2,13,13,1.0000,1.0000,13.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf5
36,depth5_leaf6,5,6,44,13,0.5385,4,7天累积日照时数,1.2500,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf6
37,depth5_leaf7,5,7,44,13,0.5385,4,7天累积日照时数,1.2500,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf7
38,depth5_leaf8,5,8,44,13,0.5385,4,7天累积日照时数,1.2500,1,8,8,1.0000,1.0000,8.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf8
39,depth5_leaf9,5,9,44,13,0.6154,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf9
40,depth5_leaf10,5,10,44,13,0.7692,4,7天累积日照时数,1.2500,0,0,0,0.0000,0.0000,0.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth5_leaf10
41,depth6_leaf1,6,1,44,13,0.3846,4,7天平均气温,2.5227,13,21,21,1.0000,1.0000,21.00,F:\02_MeteorologyWork\02_正式\2025-11月正式工作\荔枝花果霜疫霉\analysis_output_batch_1119\analysis_depth6_leaf1
